forum_id	forum_title	forum_keywords
159	Smoking Addiction Help	Cessation Programs and Products, Health Issues, How to Quit, Reasons to Quit, Relapse Prevention, Friend and Family Support, Quit Smoking, Addicted to Smoking, Smoking Addiction, The Patch, Nicotine, MedHelp, Forums, Support	MedHelp's Smoking Addiction Help Forum. This forum is for help, questions and support regarding Smoking Addiction
160	Bipolar Disorder Help	Aggressive Behavior, Affect on friends and Family, Alcohol and Drug Abuse, Appetite Changes,  Chronic Pain, Denial, Depression, Difficulty Concentrating, Euphoria, Guilt, Manic Depression, Medications, Mood Swings, Poor Judgment,Sleep Disorders, Bipolar D	MedHelp's Bipolar Disorder Help Forum. This forum is for help, questions and support regarding Bipolar Disorder
161	Diabetes Help	Blood Glucose Monitoring, heart disease, pneumonia, pregnancy, Vision problems,Diabetic Complications, Hyperglycemia, Hypoglycemia, Insulin, Type II, Adult Diabetes, Diabetes, MedHelp, Ask a Doctor, Forums, Communities	MedHelp's Diabetes Help Forum. This forum is for help, questions and support regarding Diabetes
162	Stress Help	Anger, Chronic Illness, Depression, Diabetes,  Diet and Nutrition,  Divorce or Relationship, Family, Fitness, Headaches, Memory Problems, Panic Attacks, Pregnancy, Relaxation,  Sex, Sleep, Surgery, Work, MedHelp, Support, Forum, Community	MedHelp's Stress Help Forum. This forum is for help, questions and support regarding Stress
163	Arthritis Help	Arthritis, Autoimmune Disease, Bursitis, Lupus, Myositis, Neuralgia, Osteoarthritis, Polymyalgia Rheumatica, Rheumatoid Arthritis, Sciatica, Tendinitis,  Vasculitis, MedHelp, Support, Forum, Communities, Joint Pain	MedHelp's Arthritis Help Forum. This forum is for help, questions and support regarding Arthritis
164	General Health Help	Adolescents, Babies, Child Health, Eating Disorders, General Health and Fitness, Immunizations/Vaccines, Infectious Diseases, Medical Tests and Procedures, Senior Health, MedHelp, Forums, Communities	MedHelp's General Health Help Forum. This forum is for help, questions and support regarding General Health
165	Eating Disorders Help	Anorexia, Athletes, Binge Eating, Body Image, Bulimia, Eating Disorders, Dental Issues, Laxative Abuse, Male Eating Disorders, Media Images, Pregnancy, Support Groups, Teens, MedHelp, Forum, Communities	MedHelp's Eating Disorders Help Forum. This forum is for help, questions and support regarding Eating Disorders
166	Down Syndrome Help	Down Syndrome, Communication Problems, Developmental Disabilities, Hearing Loss, Hypothyroidism, Immune System Problems, Learning Disabilities, Joint Problems, Muscle Weakness, Respiratory Disorders, Seizures, Sleep Apnea, MedHelp, Forum	MedHelp's Down Syndrome Help Forum. This forum is for help, questions and support regarding Down Syndrome
168	Temporomandibular Joint & Muscle Help	diagnosis, headaches, managing pain, treatments, TMJ, Temporomandibular Joint Disorder, MedHelp, Forum, Support, Community	MedHelp's Temporomandibular Joint & Muscle Help Forum. This forum is for help, questions and support regarding Temporomandibular Joint & Muscle
16	Prostate Cancer Help	Prostate Cancer, Biopsy, Bone Scan, Blood in Urine, BPH, CT Scan, Cystoscopy, Erectile Dysfunction, Hormone Therapy, Incontinence, Pain, PSA Test, Prostatitis, Radiation Therapy, Rectal Exam, Recurrent Cancer, Risk Factors, Screening, MedHelp, Forum	MedHelp's Prostate Cancer Help Forum. This forum is for help, questions and support regarding Prostate Cancer
170	Alzheimer's Disease Help	Alzheimers Disease, Alzheimers, Daycare Centers, Caregivers,  Confusion, Diagnosis,  Family  Issues, Home Care,  Identification Methods, Living with Alzheimerâs, Memory Loss, Nursing Home Care, Prevention, Treatment, MedHelp, Seniors, Forums, Community,	MedHelp's Alzheimer's Disease Help Forum. This forum is for help, questions and support regarding Alzheimer's Disease
171	Step Parenting Help	Behavioral Issues, Chores, Communication, Discipline, Ex Spouses, Family Gatherings, Family Meetings, Family Decisions, Frustration, Fun Activities, Guilt, Rules, Stress, Time Issues, MedHelp, Forum, Support, Community, Step parent	MedHelp's Step Parenting Help Forum. This forum is for help, questions and support regarding Step Parenting
172	Breast Cancer: Stage 3 & 4 Help	Breast Cancer, Lumps, Breast Biopsy,Genetics, Chemotherapy, Hormone Therapy, Lumps, Lumpectomy, Lymph node dissection, Lymphedema, Mammograms, Mastectomy, Radiation Therapy, Reconstruction,  Self Breast Exam, Surgery, MedHelp, Forum, , Stage 3, Stage 4	MedHelp's Breast Cancer: Stage 3 & 4 Help Forum. This forum is for help, questions and support regarding Breast Cancer: Stage 3 & 4
174	Autoimmune Disorders  Help	Automimmune Disorders, Automimmune, Acute disseminated encephalomyelitis (ADEM),  Ankylosing spondylitis, Antiphospholipid antibody syndrome (APS), Aplastic anemia, Autoimmune hepatitis,  Autoimmune Oophoritis, Celiac disease, Crohn's di	MedHelp's Autoimmune Disorders  Help Forum. This forum is for help, questions and support regarding Autoimmune Disorders
175	ADD / ADHD Help	ADD, ADHD, Attention Deficit Disorder, Hyperactivity Disorder, Anxiety, Autism Spectrum Disorders, Behavior Therapy, Causes, Coping, Depression, Diagnosis, Discipline, Drugs-Medications, Resources, Myths About ADD, Risk Factors, Symptoms, Treatment, MedHe	MedHelp's ADD / ADHD Help Forum. This forum is for help, questions and support regarding ADD / ADHD
176	Asthma Help	Asthma, Asthma Control, Breathing Difficulty, Bronchodilators, Children's Asthma,Diagnosis, Drug Allergies, Exercise-Induced Asthma, House Dust and Indoor Allergens, Pets, School issues, Sports â Activities, Treatments, MedHelp, Trouble Breathing	MedHelp's Asthma Help Forum. This forum is for help, questions and support regarding Asthma
177	Hearing Loss Help	Assistive Listening Devices, Audiologically Deaf, Captioning, Cochlear Implants, Culturally Deaf, Hearing Aids, Hearing Dogs, Meniereâs Disease, Oral Communication, Sign Language, Speech Recognition, TDD, Hearing Loss, Tinnitus, Visual Communications, F	MedHelp's Hearing Loss Help Forum. This forum is for help, questions and support regarding Hearing Loss
178	Crohn's Disease / Ulcerative Colitis Help	Crohnâs Disease, Abdominal Pain, Blockage , Delayed Development, Diagnosis, Diarrhea, Fissures, Gall Stones, Stunted Growth, Kidney Stones, Living With Crohnâs, Malnutrition, Protein Deficiency, Skin Problems, Ulcerations, MedHelp, Forum	MedHelp's Crohn's Disease / Ulcerative Colitis Help Forum. This forum is for help, questions and support regarding Crohn's Disease / Ulcerative Colitis
179	Irritable Bowel Syndrome (IBS) Help	Irritable Bowel Syndrome, IBS, Constipation, Depression, Diagnosis, Diarrhea, Drugs, Hormonal Changes, Living With IBS, Drugs, Nutrition, Pain, Prevention, Research, Stress,  Support Groups, Symptoms, Treatment, MedHelp, Forum, Communities	MedHelp's Irritable Bowel Syndrome (IBS) Help Forum. This forum is for help, questions and support regarding Irritable Bowel Syndrome (IBS)
17	Adicción Help	None	MedHelp's Adicción Help Forum. This forum is for help, questions and support regarding Adicción
180	Women's Social Help	Bone Health, Cancers, Genetic Testing, Heart, Infectious Diseases, Issues at Work, Mammograms, Reproductive Health, Sexuality, Sexual Violence, MedHelp, forum, communities, support, women, female, Women's Health	MedHelp's Women's Social Help Forum. This forum is for help, questions and support regarding Women's Social
181	Parenting Toddlers (1	physical development, speech development, sensory development, cognitive development, emotional development, choosing a daycare, nanny, toilet training, potty training, toddler, parent, MedHelp, forum, support	MedHelp's Parenting Toddlers (1-5) Help Forum. This forum is for help, questions and support regarding Parenting Toddlers (1-5)
182	Parenting Children (6	MedHelp, Forum, Children, Parents, emotional development, cognitive development, school, making friends	MedHelp's Parenting Children (6-12) Help Forum. This forum is for help, questions and support regarding Parenting Children (6-12)
183	Parenting Teens (12	physical development, handling peer pressure, emotional development, cognitive development,  activities & sports, choosing a college, relationships, teens, teenager, parents, MedHelp, Forum	MedHelp's Parenting Teens (12-17) Help Forum. This forum is for help, questions and support regarding Parenting Teens (12-17)
184	Single Parenting Help	Parenting, Children, Single Parents, Single Mother, Single Mom, Single Dad, Single Father, help, MedHelp, Forum	MedHelp's Single Parenting Help Forum. This forum is for help, questions and support regarding Single Parenting
185	Teen Depression Help	Teen, Teen Depression, MedHelp, Support, Forum, Community, Parent Issues, Relationship Problems, Resources, School Issues, Self Esteem, Teen Sex, Depression Medications, Drug Abuse, Depression, Alcohol Abuse, Teen Drinking	MedHelp's Teen Depression Help Forum. This forum is for help, questions and support regarding Teen Depression
186	Occupational Health & Safety Help	Needle Sticks, Confined Spaces, Ergonomics, Industrial Hygiene, Hazard Communication, Hazardous Material, Indoor Air Quality, Workplace Injuries, Hearing loss,  Occupational Asthma, Personal Protective Equipment, Workers compensation, MedHelp	MedHelp's Occupational Health & Safety Help Forum. This forum is for help, questions and support regarding Occupational Health & Safety
187	Autism & Asperger's Syndrome Help	ADHD, Antisocial Personality Disorder, Blindness, Bullying, Causes of Autism, Autism Therapies, Clinical Depression, Deafness, Dyslexia, Isolation, Mental Retardation,  Social Alienation, MedHelp, Forums, Communities, Support, Aspergerâs	MedHelp's Autism & Asperger's Syndrome Help Forum. This forum is for help, questions and support regarding Autism & Asperger's Syndrome
188	Occupational Safety & Health Help	Needle Sticks, Confined Spaces, Ergonomics, Industrial Hygiene, Hazard Communication, Hazardous Material, Indoor Air Quality, Workplace Injuries, Hearing loss,  Occupational Asthma, Personal Protective Equipment, Workers compensation, MedHelp, osha	MedHelp's Occupational Safety & Health Help Forum. This forum is for help, questions and support regarding Occupational Safety & Health
18	AlergÃ­a e ImunologÃ­a Help	None	MedHelp's AlergÃ­a e ImunologÃ­a Help Forum. This forum is for help, questions and support regarding AlergÃ­a e ImunologÃ­a
190	Weight Loss & Dieting Help	Balanced Menus, Exercise, Metabolism, Healthy Dieting, Healthy Snacks, Holiday Tips for Dieters, Nutrition, South Beach Diet, Atkins Diet, Slim-Fast, Weight Watchers, MedHelp, Counting Calories, Fat Flush, Body for Life, Diets, Dieting, Support	MedHelp's Weight Loss & Dieting Help Forum. This forum is for help, questions and support regarding Weight Loss & Dieting
191	Asperger's Syndrome Help	Asperger's Syndrome, Asperger's, Aspergers Syndrome, Aspergers, MedHelp, Forum, Support, Communities	MedHelp's Asperger's Syndrome Help Forum. This forum is for help, questions and support regarding Asperger's Syndrome
192	Travel Medicine/Vaccination/ Immunization Help	disease prevention,  finding a doctor abroad, Food and water safety,  illness and injury abroad, resources for travelers, traveling with children, traveling with pets, vaccinations, immunizations, MedHelp, forum, ask a doctor, support	MedHelp's Travel Medicine/Vaccination/ Immunization Help Forum. This forum is for help, questions and support regarding Travel Medicine/Vaccination/ Immunization
194	Ritmo Del Corazón Help	Arritmia,Fibrilación Atrial,Vibración Atrial,Bradicardia,Defibrilador,Fracción de Ejección (FE),Electrocardiograma,Estudio de Electrofisiología,Monitores de eventos,Monitora Holter,Lata irregular, Marcapasos,Desmayar	MedHelp's Ritmo Del Corazón Help Forum. This forum is for help, questions and support regarding Ritmo Del Corazón
195	Herpes Help	Herpes, Genital herpes, STD, Herpes simplex, Herpes virus 2, HSV-2, HSV-1, MedHelp, forum, community, support, prevention, herpes prevention, do I have herpes	MedHelp's Herpes Help Forum. This forum is for help, questions and support regarding Herpes
196	Human Papillomavirus (HPV) Help	Human Papillomavirus, HPV, cervical cancer, HPV in men, PAP tests, Genital Warts, Condylomata acuminata; Penile warts; Venereal warts; Condyloma, MedHelp, STD, forum, support	MedHelp's Human Papillomavirus (HPV) Help Forum. This forum is for help, questions and support regarding Human Papillomavirus (HPV)
197	Cerebral Palsy Help	Cerebral Palsy, orthotics, walkers, wheelchairs, Cerebral Palsy Support Groups, Cerebral Palsy Research, Long-Term Care, Biofeedback, Hyperbaric Oxygen Therapy, Conductive Education, Suit Therapy, Botox, Baclofen, PERC, MedHelp, forum, support	MedHelp's Cerebral Palsy Help Forum. This forum is for help, questions and support regarding Cerebral Palsy
200	GERD (Acid Reflux) Help	Acid Reflux, Acid Reflex, GERD, Gastroesophageal Reflux Disease, Acid Reflux Symptoms, GERD Symptoms, GERD Treatments, Acid Reflux Treatments, Indigestion, Heartburn, Heartburn Treatments, MedHelp, Ask a Doctor, Preventing GERD, Preventing Heartburn	MedHelp's GERD (Acid Reflux) Help Forum. This forum is for help, questions and support regarding GERD (Acid Reflux)
201	Parkinsonâs Disease Help	Parkinsonâs Disease, Parkinsonâs, Parkinsons, Parkinsonism, MedHelp, support, Forum, Parkinson's Disease Symptoms, Parkinson's Disease Treatments	MedHelp's Parkinsonâs Disease Help Forum. This forum is for help, questions and support regarding Parkinsonâs Disease
202	Chlamydia Help	Chlamydia, MedHelp, support, STD, Chlamydia Treatments, Chlamydia Prevention, Chlamydia Tests, Chlamydia Support, Chlamydia trachomatis, Clamydia, PID, burning sensation	MedHelp's Chlamydia Help Forum. This forum is for help, questions and support regarding Chlamydia
203	Polycystic Ovarian Syndrome (PCOS) Help	Polycystic Ovarian Syndrome, PCOS, Polycystic ovaries, ovaries, Stein-Leventhal syndrome, FSH Levels, PCOS treatments, PCOS tests, PCOS symptoms, PCOS surgery, Hersuitism	MedHelp's Polycystic Ovarian Syndrome (PCOS) Help Forum. This forum is for help, questions and support regarding Polycystic Ovarian Syndrome (PCOS)
204	Incontinentia Pigmenti Help	Incontinentia Pigmenti, Incontinentia Pigmenti treatments, Incontinentia Pigmenti symptomps, Incontinentia Pigmenti support, Incontinentia Pigmenti exams	MedHelp's Incontinentia Pigmenti Help Forum. This forum is for help, questions and support regarding Incontinentia Pigmenti
205	Sudden Infant Death Syndrome (SIDS) Help	SIDS, Sudden Infant Death Syndrome, prevent SIDS, SIDS prevention, how to prevent SIDS, sids support, back sleeping, causes of sids, risk of sids, sids symptoms, MedHelp, sids forum, sids support group	MedHelp's Sudden Infant Death Syndrome (SIDS) Help Forum. This forum is for help, questions and support regarding Sudden Infant Death Syndrome (SIDS)
206	Oral and Maxillofacial Surgery Help	Jaw Alignment, Oral Surgery, Maxillofacial Surgery, Facial Bones Realignment, Aesthetic dentistry, Aesthetic surgery, teeth extractions, wisdom teeth, Jaw Joint Repair, Jaw Reconstruction, TMJ, Temporomandibular Joint Syndrome, MedHelp	MedHelp's Oral and Maxillofacial Surgery Help Forum. This forum is for help, questions and support regarding Oral and Maxillofacial Surgery
207	Sexual Health Help	Sex, Orgasms, Masturbation, how to masturbate, Sexual Positions, Sexual Stimulation, Sexual Toys, Pornography, safe sex, Virginity, Foreplay, Fetishes, birth control, orgsm, masturbate, masterbate, masterbation	MedHelp's Sexual Health Help Forum. This forum is for help, questions and support regarding Sexual Health
208	Hysterectomy Help	Hysterectomy, Hysterectomies,	MedHelp's Hysterectomy Help Forum. This forum is for help, questions and support regarding Hysterectomy
20	Control de Peso Help	None	MedHelp's Control de Peso Help Forum. This forum is for help, questions and support regarding Control de Peso
210	Borderline Personality Disorder Help	Borderline Personality Disorder, BPD, BPD Symptoms, BPD Treatments, BPD Drugs, Borderline Personality Disorder Treatments, Borderline Personality Disorder Drugs, Borderline Personality Disorder Symptoms, MedHelp, BPD Support	MedHelp's Borderline Personality Disorder Help Forum. This forum is for help, questions and support regarding Borderline Personality Disorder
213	Bariatric / Weight Loss Surgery Help	Lap Band Surgery, Lap Band Surgery options, lap band procedure, Lap Band, Lapband, lap band testimonials, MedHelp, Lap Band information, Lap Band Surgery information, Gastric Bypass, Weight Loss Surgery, Bariatric Surgery	MedHelp's Bariatric / Weight Loss Surgery Help Forum. This forum is for help, questions and support regarding Bariatric / Weight Loss Surgery
214	Children's Allergies Help	Allergies, Childrens Allergies, Food allergies, Hay Fever, Insect sting allergies, Latex allergies, Peanut Allergies, Pet Allergies, MSG Allergies, Mold allergies, Allergy Treatments, Allergy Symptoms, Birch pollen allergies, Drug Allergies	MedHelp's Children's Allergies Help Forum. This forum is for help, questions and support regarding Children's Allergies
215	Fertility / Infertility Help	Egg Quality, Fertility Drugs, Fertility Tests, Genetic Testing , In-vitro Fertilization, Infertility, Ovulation, Relationship Issues, Risk Factors, Sperm Count, Sperm Quality, Infertility Treatments, Infertility Symptoms, Infertility Support	MedHelp's Fertility / Infertility Help Forum. This forum is for help, questions and support regarding Fertility / Infertility
216	Dental Health Help	Dentist, Dental Health, Cavities, Root Canals, crowns, bridges, orthodontics, cavity treatments	MedHelp's Dental Health Help Forum. This forum is for help, questions and support regarding Dental Health
217	Alcoholic, Living with an  Help	Alcoholism, Health Issues, How to Quit, Reasons to Quit, Relapse Prevention, Friend and Family Support, AA, Alcoholics Anonymous, MedHelp, Support, Forums, Community, Drinking while Driving, DUI, DWI	MedHelp's Alcoholic, Living with an  Help Forum. This forum is for help, questions and support regarding Alcoholic, Living with an
218	Endometriosis Help	Endometriosis, Endometriosis Symptoms, Endometriosis Causes, Endometriosis Treatments, Fertility, Infertility, Hormonal Treatments, Living With Endometriosis, Endometriosis Support	MedHelp's Endometriosis Help Forum. This forum is for help, questions and support regarding Endometriosis
219	Waldenstrom's Macroglobulinemia Help	Waldenstrom's Macroglobulinemia, Waldenstroms Macroglobulinemia, Waldenstrom's Macroglobulinemia Treatments, Waldenstrom's Macroglobulinemia Symptoms, Waldenstrom's Macroglobulinemia Causes, Stem Cell Transplant	MedHelp's Waldenstrom's Macroglobulinemia Help Forum. This forum is for help, questions and support regarding Waldenstrom's Macroglobulinemia
21	Diabetes (Español) Help	None	MedHelp's Diabetes (Español) Help Forum. This forum is for help, questions and support regarding Diabetes (Español)
221	Caregivers Help	Caregivers, Caregivers Community, Caregivers Forum, Caregivers Support, Assistive Technology	MedHelp's Caregivers Help Forum. This forum is for help, questions and support regarding Caregivers
222	Hepatitis A Help	Hepatitis A, Hep A, Hepatitis A Symptoms, Hepatitis A treatments, Hepatitis A Support, Hepatitis A forum	MedHelp's Hepatitis A Help Forum. This forum is for help, questions and support regarding Hepatitis A
223	Hepatitis B Help	Hepatitis B, Hep B, Hepatitis B Symptoms, Hepatitis B treatments, Hepatitis B Support, Hepatitis B forum	MedHelp's Hepatitis B Help Forum. This forum is for help, questions and support regarding Hepatitis B
224	Hepatitis Autoimmune Help	Autoimmune Hepatitis, Autoimmune Hepatitis Treatments, Autoimmune Hepatitis Symptoms, Autoimmune Hepatitis Support, Autoimmune Hepatitis forum	MedHelp's Hepatitis Autoimmune Help Forum. This forum is for help, questions and support regarding Hepatitis Autoimmune
226	Celiac (Sprue) Disease Help	Celiac Disease, Celiac Disease Treatments, Celiac Disease Symptoms, Celiac Disease Forum, Celiac Disease Support, Sprue Disease Support, Sprue Disease Treatments, Sprue Disease Forum, Children with Celiac, Infants with Celiac	MedHelp's Celiac (Sprue) Disease Help Forum. This forum is for help, questions and support regarding Celiac (Sprue) Disease
227	Ostomy Help	Ostomy, Gastrostomy Ileostomy, Jejunostomy, Ostomy Reversal, Ostomy Symptoms, Ostomy Treatments, Ostomy Support, Ostomy Forum, MedHelp, Ostomy Diet, Ostomy Nutrition	MedHelp's Ostomy Help Forum. This forum is for help, questions and support regarding Ostomy
229	Kidney Disease & Disorders Help	Dialysis, Kidney Disease, Kidney Disorders, Kidney Disease Symptoms, Kidney Disease Treatments, Kidney Disease Prevention, Kidney Disease Tests, Kidney Disease Research, Kidney Disease Support	MedHelp's Kidney Disease & Disorders Help Forum. This forum is for help, questions and support regarding Kidney Disease & Disorders
22	Enfermedades del Corazon Help	angina, angioplastía, arrhythmia, cirugía de desviación, cardiomyopatía, enfermedades de los arterias coronarias, defibriladores, ataques de corazón, enfermedades de corazón, presión alta, valvo mitral, reguladores de paso coronario, PAD, stenosis,	MedHelp's Enfermedades del Corazon Help Forum. This forum is for help, questions and support regarding Enfermedades del Corazon
230	Transplants Help	Anti-rejection drugs, Transplants, Transplant complications, Organ Rejection, Waiting List, Organ Transplant, Organ Donors	MedHelp's Transplants Help Forum. This forum is for help, questions and support regarding Transplants
231	Obsessive Compulsive Disorder (OCD)  Help	Obsessive Compulsive Disorder, OCD, OCD Symptoms, OCD Treatments, OCD research, OCD support, OCD rituals	MedHelp's Obsessive Compulsive Disorder (OCD)  Help Forum. This forum is for help, questions and support regarding Obsessive Compulsive Disorder (OCD)
232	Adults with Special Needs Help	Special Needs, Learning issues, Assistive Technology, Special Needs support, Special Needs Forum, Special Needs Community	MedHelp's Adults with Special Needs Help Forum. This forum is for help, questions and support regarding Adults with Special Needs
233	Breastfeeding Help	Breastfeeding, Breast Feeding, Breast Milk, Breast Pumps, Should I breast feed	MedHelp's Breastfeeding Forum. This forum is for help, questions and support regarding Breastfeeding
234	Parenting: For Fathers Help	Single Father, Single Dad, Stay-at-Home Fathers, Stepfathers, Parenting, Divorced Father, Father Support, Father Parenting, Father-daughter relationship, Father-son relationship	MedHelp's Parenting: For Fathers Help Forum. This forum is for help, questions and support regarding Parenting: For Fathers
235	Epilepsy Help	Epilepsy Treatments, Epilepsy Symptoms, Epilepsy Support, Epilepsy Community, Epilepsy Forum	MedHelp's Epilepsy Help Forum. This forum is for help, questions and support regarding Epilepsy
236	Tourette Syndrome Help	Tourette Syndrome, Tourettes Syndrome, Tourette Syndrome Symptoms, Tourette Syndrome Treatments, Tourette Syndrome Forum, Tourette Syndrome Community, Tourette Syndrome Support	MedHelp's Tourette Syndrome Help Forum. This forum is for help, questions and support regarding Tourette Syndrome
23	Hepatitis Español Help	None	MedHelp's Hepatitis Español Help Forum. This forum is for help, questions and support regarding Hepatitis Español
24	Huesos, Articulaciones & MÃºsculos Help	None	MedHelp's Huesos, Articulaciones & MÃºsculos Help Forum. This forum is for help, questions and support regarding Huesos, Articulaciones & MÃºsculos
250	Premature Babies Help	preemy, preemy support, premature baby, nicu, preemie, baby, preemie, premie, premature child, preemie child, infant, tiny, preemie support, preemie community	MedHelp's Premature Babies Help Forum. This forum is for help, questions and support regarding Premature Babies
251	Epstein Barr Virus (EBV) Help	EBV, Epstein Barr Virus, Mononucleosis, EBV Treatments, EBV Symptoms, EBV Support, Mononucleosis Treatments, Mononucleosis Symptoms, Mononucleosis Support, EBV Forum, EBV Community	MedHelp's Epstein Barr Virus (EBV) Help Forum. This forum is for help, questions and support regarding Epstein Barr Virus (EBV)
256	Medullary Sponge Kidney Disease (MSK)  Help	MSK Symptoms, MSK Treatments, MSK Support, MSK Forum, MSK Community, MSK, Medullary Sponge Kidney Disease, Kidney, Medullary, Sponge Kidney	MedHelp's Medullary Sponge Kidney Disease (MSK)  Help Forum. This forum is for help, questions and support regarding Medullary Sponge Kidney Disease (MSK)
257	Chiari Malformation Help	Chiari Malformation, Arnold Chiari Malformation, Chiari Malformation forum, Chiari Malformation community, Chiari Malformation symptoms, Chiari Malformation support	MedHelp's Chiari Malformation Forum. This forum is for help, questions and support regarding Chiari Malformation
258	Ovarian Cysts Help	Cysts, Ovarian Cysts, Ovarian Cysts symptoms, Ovarian cysts support, ovarian cysts community, ovarian cysts forum, ovarian cysts treatments,	MedHelp's Ovarian Cysts Help Forum. This forum is for help, questions and support regarding Ovarian Cysts
259	Teen Pregnancy Concerns Help	teen pregnancy, teen pregnancy support, teen pregnancy forum, Childbirth, Fetal Monitoring, Genetic Testing, Hormonal Changes, Labor, Lamaze, Morning Sickness, Nutrition, Parenting, Prenatal Care, Weight gain, MedHelp, Forum, Communities	MedHelp's Teen Pregnancy Concerns Help Forum. This forum is for help, questions and support regarding Teen Pregnancy Concerns
25	Ojos y Visión Help	None	MedHelp's Ojos y Visión Help Forum. This forum is for help, questions and support regarding Ojos y Visión
260	Birth Control (Contraception)  Help	Birth Control, Types of Birth Control, Abstinence, Barrier Method, Birth Control Pills, Cervical Cap, Condoms, Diaphragm, Hormone Injections, Intrauterine Devices, Skin Patch, Tubal Ligation, Vaginal Rings, Vasectomy, Yaz	MedHelp's Birth Control (Contraception)  Help Forum. This forum is for help, questions and support regarding Birth Control (Contraception)
262	Baby Products	high chairs, strollers, car seats, diapers, formula, bouncers, jumpers, cribs, gliders, rocking chairs, baby bjorns, saucers, bottles	MedHelp's Baby Products Forum. This forum is for questions and discussions regarding Baby Products
265	Military Health Issues Help	Amputation, Anxiety, Back Injuries, Burns, Chemical Exposure,  Bone Injuries, Depression, Disabled Vets, Head Injuries, Health Insurance, Infections, Infectious Diseases, Mental Health Issues, Post Traumatic Shock Disorder (PTSD) Vaccines	MedHelp's Military Health Issues Help Forum. This forum is for help, questions and support regarding Military Health Issues
266	Dysautonomia (Autonomic Dysfunction) Help	Dysautonomia, Autonomic Dysfunction, POTS, neurocardiogenic syncope, Dysautonomia Symptoms, Dysautonomia support, POTS support, POTS forum, POTS community, Dysautonomia forum, Dysautonomia community	MedHelp's Dysautonomia (Autonomic Dysfunction) Help Forum. This forum is for help, questions and support regarding Dysautonomia (Autonomic Dysfunction)
267	Chiropractic Care Help	Chiropractic Care, Chiropractic Forum, Chiropractic Community, Chiropractic Board	MedHelp's Chiropractic Care Help Forum. This forum is for help, questions and support regarding Chiropractic Care
26	Piel / Dermatología Help	None	MedHelp's Piel / Dermatología Help Forum. This forum is for help, questions and support regarding Piel / Dermatología
274	Liver Transplant Help	Liver Transplant, Liver Transplant ask a doctor, Liver Transplant forum, Liver Transplant expert, Liver Transplant board, Liver Transplant community, Liver Transplant help	MedHelp's Liver Transplant Help Forum. This forum is for help, questions and support regarding Liver Transplant
277	Erectile Dysfunction Help	ED Forum, ED Board, ED ask a doctor, ED Help, ED community, Erectile Dysfunction forum, Erectile Dysfunction board, Erectile Dysfunction community, Erectile Dysfunction expert, ED expert	MedHelp's Erectile Dysfunction Help Forum. This forum is for help, questions and support regarding Erectile Dysfunction
278	Rhinoplasty (Nose Jobs) Help	Rhinoplasty forum, Rhinoplasty board, Rhinoplasty community, Rhinoplasty help, Rhinoplasty doctor, Rhinoplasty questions, Rhinoplasty expert, nose jobs, rhinoplasty	MedHelp's Rhinoplasty (Nose Jobs) Help Forum. This forum is for help, questions and support regarding Rhinoplasty (Nose Jobs)
27	Riñones & el Sistema Urinario Help	None	MedHelp's Riñones & el Sistema Urinario Help Forum. This forum is for help, questions and support regarding Riñones & el Sistema Urinario
280	Healthy Cooking Help	Healthy Cooking Community, Healthy Cooking board, Healthy Cooking forum, Healthy Cooking help	MedHelp's Healthy Cooking Help Forum. This forum is for help, questions and support regarding Healthy Cooking
282	Head & Traumatic Brain Injury Help	brain injury forum, brain injury board, brain injury community, brain injury questions, head injury forum, head injury board, head injury community, head injury questions,	MedHelp's Head & Traumatic Brain Injury Help Forum. This forum is for help, questions and support regarding Head & Traumatic Brain Injury
283	Miscarriages Help	Miscarriage, Miscarriages, Miscarriage forum, Miscarriage community, Miscarriage support, Miscarriage board, Miscarriages forum, Miscarriages community, Miscarriages support, Miscarriages board	MedHelp's Miscarriages Help Forum. This forum is for help, questions and support regarding Miscarriages
284	Congestive Heart Failure Help	CHF Forum. CHF Board, CHF Community, CHF support, CHF Help, Congestive Heart Failure forum, Congestive Heart Failure board, Congestive Heart Failure community, Congestive Heart Failure support, Congestive Heart Failure help	MedHelp's Congestive Heart Failure Help Forum. This forum is for help, questions and support regarding Congestive Heart Failure
286	Liver Disorders Help	Liver Disorders community, Liver Disorders forum, Liver Disorders board, Liver Disorders help, Liver Disorders support, liver disorder community, liver disorder forum, liver disorder board, liver disorder help, liver disorder support	MedHelp's Liver Disorders Help Forum. This forum is for help, questions and support regarding Liver Disorders
28	Salud del BebÃ© Help	None	MedHelp's Salud del BebÃ© Help Forum. This forum is for help, questions and support regarding Salud del BebÃ©
290	Skin Cancer Help	Skin Cancer forum, skin cancer board, skin cancer community, skin cancer support, skin cancer questions, Melanoma forum, Melanoma support, Melanoma questions, Melanoma board	MedHelp's Skin Cancer Help Forum. This forum is for help, questions and support regarding Skin Cancer
291	Colon Cancer Help	colon cancer support, colon cancer forum, colon cancer board, colon cancer community, colon cancer questions, colon cancer help	MedHelp's Colon Cancer Help Forum. This forum is for help, questions and support regarding Colon Cancer
293	Hair Loss (Alopecia) Help	Hair loss, alopecia, hair loss treatments, hair loss questions, hair loss support, hair loss board, hair loss community	MedHelp's Hair Loss (Alopecia) Help Forum. This forum is for help, questions and support regarding Hair Loss (Alopecia)
