group_id_text	group_name	group_type	group_keyword	group_members	group_description
eating_disordered	Conversations For The Eating Disordered	Public	 Mental/Emotional Health 	20	A place to get together and talk about eating disorders and how to help each other.
college_students	College Students 	Public	 MedHelp General 	39	Are you currently going to college or are you looking into continuing your education even further? If so, then this is the place for you. You may talk about anything related to college here. Are you just beginning your college search or do you have a college in mind? You may chat with other members on here about different colleges, majors/minors, college life, etc. I am a college student myself, pursuing my Associate's Degree in Computer Systems Specialist. I will be glad to answer any questions that High School Juniors, Seniors, or anyone else may have about college. Anyone may join this group. I believe this group will be a great place for College Students and those who are looking to further their education even more, to get together and share their knowledge about this important time in life. :)
dagger_chic_s_group_of_questions	DaggerChic's Group Of Questions	 Private 	 Sexual Health 	1	Why Men Do The Things They Do?
computer_wars	Computer Wars	Public	 MedHelp General 	3	Which do you prefer - mac or PC?  Why?
copd	COPD	Public	 Respiratory Disorders 	24	group for COPD and emphysema adults.  Including people who are on home oxygen.  We get no real instruction from our doctors about our use of oxygen (when you don't have to be hooked to it); vacationing with your equipment.  A forum where we can discuss with others our experiences and share ideas and questions about our breathing problems and how we cope day to day.
colloidal_silver_and_feldenkrais_therapy	Colloidal Silver and Feldenkrais therapy	Public	 Orthopedics 	3	Interested in others who take colloidal silver and othermineral and vitamin therapies. Also, care and help for idiopathic scoliosis.  Mineral therapy and physical therapy such as feldenkrais; muscle strengthening for help to improve children's scoliosis.
control_de_peso_baje_15_libras	CONTROL DE PESO BAJE 15 LIBRAS	Public	 General Health 	1	48 libras (21.7 kilos) y 10 pulgadas (25.4 centÃ­metros) de talla! Es como haber rejuvenecido 5 aÃ±os! Muchas gracias por esta oportunidad. Este concurso y los ingresos me han ayudado a estar motivada!Mi perdida de peso es un tren imparable y mi negocio se esta construyendo como un pequeÃ±o motor! Mi organizaciÃ³n consiste en nuevos integrantes en mercadeo en red que estÃ¡n apasionados por el uso del producto cuando los compartes con los demÃ¡s. Mi grupo ha perdido alrededor de 400 libras (181.4 kilos) de manera colectiva, y vamos muy fuertes! No puedo ser humildeâ¦ realmente espero ganar!. Estos productos han transformado a esta mujer con un sobrepeso sin remedio en un juego activo de racquetball y escalada. Corriendo tras mis hijos, con energÃ­a, con felicidad que mejora dÃ­a a dÃ­a. Gracias O3Worldâ¦ Te amoAnnette Jones WWW.FOREVERGREEN.MEX.TL
death	death	Public	 MedHelp General 	10	we seldom think about it,but do we know what happens after death??we can not answer this question EXACTLY,because we're still alive!!our purpose is to share our ideas about death!!we'll experience the new world after death...some people never think about death,while they know we all die!!our soul lives forever,but we'll lose all the things we've had in this world,consist of money,house,family,jewellery,BEAUTY,etc!!i think it's interesting because we'll finally buried in grave,we'll be under soil!do you see what i mean??i mean we'll understand they weren't useful,you have nothing right now!!you won't see your money,palace,etc anymore..you'll wonder why were you trying to have beautiful face???insects will eat your body under soil!!!your soul will be the only thing you have...so we should protect our soul and do take care of it...i hope this community helps you know more about DEATH...
cramp_fasciculation_syndrome_and_neuromyotonia	Cramp Fasciculation Syndrome and Neuromyotonia	Public	 Neurology 	10	A group for those with the physical pain, cramps, muscle tightness, fatigue, and exercise intolerance of peripheral nerve hyperexcitability. Though we sympathize with those who have BFS and the anxiety that often accompanies it, this is not a group for discussing BFS or health anxiety.
conspiracy_theories_101	Conspiracy Theories 101	 Private 	 Diabetes 	1	.
crohn_s_rage	CROHN'S RAGE	Public	 Autoimmune 	2	Is it just me or do find you have bouts of not just anger but flat out rage.  Something like you have never experienced before.  Where breaking stuff...getting a little out of control.  Self inflicted... my method of choice was tattoo's and working out in the gym to "punish" my self.  Now I do not have the energy for the gym and ink costs money.  Now what?
complications_after_spinal_stenosis_treatment	complications after spinal stenosis treatment	Public	 Neurology 	2	who has had a treatment for spinal stenosis and the result is worse?
cystic_hygroma_in_pregnancy	cystic hygroma in pregnancy	Public	 Pregnancy 	8	This group is for womem who are pregnant and have been told that their baby has a cystic hygroma. Share your story, show support for others and discuss your concerns.
crohn_s_colitis_forum__chronic_digestive_diseases_	Crohn's Colitis Forum- Chronic Digestive Diseases 	Public	 Digestive 	23	Information and Support forum for people with chronic digestive problems/diseases, such as -  Crohn's Disease,  Ulcerative Colitis, Inflammatory Bowel Disease, IBS, Pancreatitis, GERD, Diverticulosis, Gastritis, Autoimmune Diseases associated with the intestines.  Chronic diarrhea, bloating, cramping.  DIET MATTERS - LIFESTYLE CHANGES HELP.REDUCE STRSS Getting better without all the DRUGS! What are the most current helpful treatments available for these conditions, your disease?  If you have an article, share it.  If you have a treatment that works for you, share that too. We will get better because we do have control on our overall health and can eliminate/reduce inflammation in our body.  There is power in numbers.  When we come together - we have power to overcome and move forward in good health.  The more we know the more power we have!Support and Understanding - Chronic illness is very much misunderstood by people that do not suffer from one, they just don't get it.  People, even your family members, have difficulty wrapping their brains around these conditions/diseases.  There are people that do understand and do experience similar symptoms - You are not alone and can get support and help from people that care.PS: Conventional treatments for Autoimmune diseases and inflammatory conditions work for some, but really only treat the symptoms.  It's easy to take a pill and continue with the day without a change.  If this makes the pain go away, you think you are better.  For a lot of us, our bodies need more and deserve more.  We need to make a change and step up and do what our body requires of us to get better. We need to listen to our bodies and respond to our needs. It takes effort and requires motivation, will and faith in something more.  **TAKE ACTION TO CHANGE YOUR SITUATION**
dec_2011_babies___	Dec 2011 Babies!!!	Public	 Pregnancy 	14	Place to chat about our new pregnancies!!
december_2011_babies_____	DECEMBER 2011 BABIES!!!! 	Public	 Pregnancy 	35	If you're due in december join this group we'll have lots of fun waiting for our little bundles of perfectness to arrive this is a perfect group for you if you're scared need answers need someone to talk to if you're on bedrest (like I am)  well do lots of fun activities to keep us busy and our minds off how far away December seems
complex_regional_pain_syndrome	Complex Regional Pain Syndrome	Public	 Neurology 	2	I have this and if anyone wants to talk to me about it and wants to know more about me I'm here to help.
complementary_and_alternative_medicines_cam__questionnaire	Complementary and alternative medicines(CAM) questionnaire	Public	 Alternative Medicine 	2	Hello friends, I am the student of University of Bath, currently on my dissertation stage.My research is based on complementary and alternative medicines (CAM). All the therapies, yoga, massage or Homeopathic or Ayurvedic or Chinese ancient medicines, other than conventional medicines come under CAM in UK. It will be of great help if you could help me filling my research questionnaire. It woulnt take more then 5 min but your support will help me to achieve my research objective. Below is the link for my questionnaire and if you have trouble viewing or submitting please give me your mail id. https://spreadsheets.google.com/spreadsheet/viewform?formkey=dGxZRmo3YUktRXZZUXNSb1MzeVBtUUE6MQThank you very much for your support and helpAdi
clothing_and_bathroom_functions	clothing and bathroom functions	Public	 Rare Diseases 	2	My husband, John, was diagnosed with ALS about 1 and 1/2 years ago.  He is now unable to get his pants down to go to the bathroom on his own.  I am at work during the day and he is here alone durig the day.   Any suggestions on what you do on your own until someone is there to help you?
december_2012_babies	December 2012 Babies	Public	 Pregnancy 	28	Group for women expecting their baby(ies) anytime during December of 2012. This is a place to ask questions, share stories, and celebrate!
december_2012_babies____	DECEMBER 2012 BABIES!!! 	Public	 Pregnancy 	12	This group is for all the ladies who are expecting a wonderful Christmas/Holiday time bundle of joy!! Come and chit-chat and share our expierences along this wonderful journey's of our pregnancies!
concerned_moms_to_be_	Concerned Moms-to-Be 	Public	 Pregnancy 	1	Concerned Moms -to -Be who have used cocaine daily in the first month of pregnancy or any drug with or without knowing they were pregnant. Anyone or concerned Mom-to-Be is urged,  and welcomed to please share and feel at ease doing so in this group.  I hope  a lot of us woman who are in scary crossroads in their life and need help can recieve some support in this group.  There is power in numbers!
crossroads_warriors	Crossroads Warriors	 Private 	 Healthy Living 	2	Crossroads Warriors is a support group of patients who are undergoing weight loss treatment at Crossroads ObGyn and Wellness.
dragon_force	DragonForce	 Private 	 MedHelp General 	2	This is a group for DragonForce only.
ehlers_danlos_syndrome	Ehlers-Danlos Syndrome	Public	 Genetics 	134	This group is for members with any form of  Ehlers-Danlos Syndrome.We have this group to share info and support for each other.Ehlers-Danlos syndrome (EDS) is a heterogeneous group of heritable connective tissue disorders characterized by articular hypermobility, skin extensibility and tissue fragility. Individuals with EDS have a defect in their connective tissue. It is this tissue that provides support to many body parts such as the skin, muscles, ligaments and organs. The fragile skin and unstable joints found in EDS are due to faulty collagen. Collagen is a protein that acts like glue in the body adding strength and elasticity to connective tissue.
eat_hearty__drink_deep__live_life	Eat Hearty, Drink Deep, Live Life	Public	 MedHelp General 	34	Eating and drinking need not be unpleasant to be healthy, if done in a mindful and moderate manner.  One can even include food and beverages sometimes regarded as "suspect."Part of the secret is to look at what you prepare, look at your needs and match them in a joy-filled way!Mealtime should add to one's life; not just be a duty for fueling up.
diabetics	Diabetics	Public	 Thyroid 	12	Seasoned diabetics helping new diabetics
edr	Egg Donor Recipients	Public	 Women's Health 	61	This community was created to answer questions about the egg donation process. What happens during an egg donor cycle.  Drugs used during the process. Protocols. Where you can go to cycle.  Costs associated with that. Information about disclosure.
depression	Depression	Public	 Mental/Emotional Health 	121	:(
dizzy	Dizzy	Public	 Thyroid 	24	For those who are dizzy for no apparent reason.  Like when you first exit a rollercoaster.  Especially when you exercise, eat too many carbs, etc.  An engine running type feeling inside the head and/or chest also. Not exactly vertigo  The room isn't spinning, its an earthquake feeling inside.
digital_ovulation_kits	digital ovulation kits	Public	 Pregnancy 	10	Hi all.Im 21 years old and my partner and i have been TTC for just under a year now. Every month to our dissappointment i get my period! My sister has three boys and suggested i use a clearblue digital ovulation kit. Does anybody have any advice on these and do they know the success rate? I know there are so many people out there in the same agonising position so if anybody has any advice on this please get in touch :) thanks!
depersonalization__derealization	Depersonalization/ Derealization	Public	 Mental/Emotional Health 	36	For people who Suffer from Depersonalization or Derealization. Please join so we can help one another. XOXOX
ectopic_pregnancy	Ectopic Pregnancy	Public	 Pregnancy 	39	This is for all the women who have had an ectopic pregnancy and the hard-ships we go through and overcome when it comes to the emotional pain. TTC after an ectopic pregnancy may be harder, but there is a fight within us all that can beat the odds together.
down_syndrome	Down syndrome	Public	 Genetics 	18	This group is for anyone and everyone who is interested in Down syndrome.  Perhaps you have a child with Down syndrome, or family member.  We all have questions and sometimes the best resources are each other.  Hopefully this group can help if you are struggling with a diagnosis either prenatally or after birth.  This group was created with the hopes of educating and helping those who want to know about Down syndrome.  If however, you are struggling with a decision regarding termination, please know that the people who are here, are here because they have either chosen or accepted Down syndrome in their lives.  Whatever your questions, stories or concerns hopefully we can help.
detached_part_of__your_life_	Detached Part Of  Your Life.	Public	 Mental/Emotional Health 	1	Sometimes you got to give in and throw it out. I know it hurts but you need to , to grow stronger as a person. But it would be better to grow as a community and let are hearts grow together and fight to STOP every type of abuse there is in children . I wish to put a stop to the suffering. I can lend a hand one at a time so we can stand strong and not be afraid of what others think . Ive been there, will you hold my hand?
diet_ideas	Diet Ideas	Public	 Healthy Living 	4	Anyone have something they do to help keep them on there diet?
desperate_for_a_baby	Desperate for a baby	Public	 Pregnancy 	3	Come and talk!!
depression_poems_	Depression poems.	Public	 Mental/Emotional Health 	3	Feeling depressed? Tell us about it in the form of songs or poems. You can either make them up or recite them from your favourite singers. We will be listening to your cries.
rapenomore	done with rape	Public	 Pain 	11	hello,I'm starting this group because i know what it feels like to be raped and have no one to talk to. that's the whole reason i started this. so you can come in and talk about it and express yours self without being judged. You need to find comfort in somewhere but don't know where to look. If you don't have a question you just want to tell you story that's OK too. you just need someone to listen to you or yell at i will be here for that to.
dwp_stories_	DWP STORIES.	Public	 Digestive 	1	For people to tell of their treatment by the benefit agency.
detox_from_home_off_methadone_	Detox from Home off Methadone 	Public	 Addiction 	7	If youâre reading this, odds are youâve already made a decision to come off of Methadone. Having kicked Methadone I would like to share how I detoxed myself at home and would like to share my experience and some tipsâ¦that worked for me.The process is difficult. It takes endurance. It takes work. It takes committment. It takes willingness. And that being said, once you've made that decision and follow through on it, I can tell you that what lies on the other side...being clean & knowing that  after you made it through the hardest and most toughest time that you seem you wasn't gonna make it you overcome it and it is well worth any fight you might undergo.Each individual will experience the following to varying degrees dependent upon your time on Methadone, dosage, age, other pre-existing physical and emotional issues. Not everyone will experience each of these side effects. The WD symptoms & PAWS are a waiting game and you have to play it out to end.THEY ARE HOWEVER, A NORMAL PART OF THE PROCESSâ¦JUST NOT PLEASANTWITHDRAWAL & POST ACUTE WITHDRAWAL SYMPTOMSAnxietyIncrease in blood pressureFeeling that you're jumping out of your skinDiarrheaVomitingSweatingGoosebumpsLeg & back/shoulder painSleep deprivationDehyrdrationDepressionLethargyRapid-fire sneezingRunny eyes/noseUnrelenting coughingNON-ADDICTING COMFORT MEDICATIONSClonodine: BP med (you'll need an RX). It both lowers your heightened BP as well as lowering anxiety. VERY effectiveAntihistamine: For sneezing/runny nose/runny eyesKaoptectate: For diarrhea Quinine: for leg spasmsAdvil/Motrin for same & back achesValerinan Root/Melatonin: for sleepHELPFUL HINTSDrink LOTS of water and/or Gatorade to replace lost electrolytesEat bananas to replace potassium...helps with muscle spasmsEat small amounts frequently (non spicey)Stay AWAY from caffine (including sodas with caffeine)Take LOTS of hot showers/baths...until you're like a prune. It's emotionally soothing and helps with spasms in back/legsHeating pad on lower back & on calves can helpThe sleep deprivation is probably the longest lasting effects of Methadone WD. It's frustrating, it's anxiety producing and depressing...but you won't die from it.Exercise...lightly in the beginning. You can start by walking. Build up your endorphin/serotonin levels. This will greatly aid with sleep, depression and energy.Keep your goals VERY small to start. Just getting up and showering may tax your energy level. Make sure to eat and drink water.And most importantly,. DON'T QUIT BEFORE THE MIRACLE! Allow GOD to help you see you through and remember THIS TOO SHALL PASS.babygirl112477@aol.com  if you have questions
diaphramatic_paralysis	Diaphramatic Paralysis	Public	 Rare Diseases 	1	People who have Bilateral Diaphtagmatic Paralisys with other underline issues
dermal_filler	dermal filler	Public	 Cosmetic Surgery 	1	Looking for Dermal fillers, dermal filler? Amara provides treatment for dermal fillers in Dublin, Ireland.http://www.amara.ie/
diabetes	Diabetes	Public	 Diabetes 	3	PLEASE DO NOT JOIN THIS GROUP IF YOU STILL WANT TO USE INSULIN TO CONTROL YOU GLUCOSE LEVELS.This group is for the people who wants to control the glucose levels naturally and without medication. I know the pains a diabetic patient has to take in his life time. Once diagnosed with Diabetes there is no way one could get out of this. However in today's technolgical environment finally I have found a solution.
dog_rescue_group	DOG RESCUE GROUP	Public	 Pets 	5	Welcome to the new Dog Rescue Group.I will post the details here of any dogs who are currently in HIGH-KILL SHELTERS IN THE U.S.. I will add the email addresses of the person/people to contact, and the location (i.e. which State) if you, or anyone you know, can rescue this dog -either for temporary adoption -or for a "Forever Home".From information I receive, I can also add a brief description of the dog's temperament, its ability to live with other pets, etc.The dogs posted here have a very short time to live. Some have a week or two, some days, some are on the death-list already and have only hours. They literally are ON DEATH ROW. As the spaces they occupy in these Shelters are under demand from more incoming unwanted, or abandoned dogs, they are due for imminent euthanization, through no fault of their own. PLEASE HELP IF YOU CAN. If you can't help directly yourself, it would be a great kindness to email these details to friends, family, etc. who may well know someone who can.Maybe with this page, we can all help to make a difference for these innocents.(I will issue a reference number for the dog, and the person to contact if you can help)With love,Ginger899
difficult__family_members_that_are_dying	Difficult  Family Members That Are Dying	 Private 	 Cancer 	1	Have you guys ever had a family member that is so in denial that they won't do a thing to help them selves? I HAVE !Has other sisters and brothers been excused from helping, but YOU? MY SISTER HAS!My mother made up an excuse she is too fat to help her.Has any family member got 2 doctor's excuses to get off of their work to help, but didn't help one bit, stayed home and/or did what the heck they wanted to do with it?  I HAVE..MY SISTER!!I will tell my sad story, if anyone cares to listen.
ellen_s_table	ellen's table	Public	 Addiction 	2	Be kind to one another!
dermatology_medical_photos	Dermatology Medical Photos	Public	 Dermatology 	8	The Dermatology Medical Photos user group welcomes medically-relevant questions/photos regarding dermatology issues, such as: rashes, acne, birthmarks, skin infections, rosacea, and general skin care. You must be 18+ years old to participate.  By entering and/or posting you agree you are 18 years old or older and accept the guidelines listed above.  Note: Failure to comply will result in deactivation of your account.
fda_recalls__u_s__food_and_drug_administration_	FDA Recalls (U.S. Food and Drug Administration)	Public	 General Health 	49	Our FDA Recalls Group is a Public Group where members post information released by the FDA (U.S. Food and Drug Administration) pertaining to FDA Recalls, Market Withdrawals, Safety Alerts & Press Releases  ---  (Medicine, Food, Public Health, Safety --  etc.) All Members are Encouraged to post FDA Recalls - so, feel free to jump on in and post!Group discussions about these items are encouraged and welcomed.
fibromyalgia	Fibromyalgia	Public	 MedHelp General 	94	A place for people to share their experiences with Fibromyalgia Syndrome
factores_de_transferencia	FACTORES DE TRANSFERENCIA	Public	 General Health 	1	BIENVENIDOS AL NUEVO GRUPO DE FACTORES DE TRANSFERENCIA. AQUI TODOS PUEDEN COMENTAR, DIALOGAR, PREGUNTAR DISCUTIR Y COMPARTIR SUS HISTORIAS O DUDAS SOBRE LO ULTIMO DEL MOMENTO CUANDO SE TRATA DE LA SALUD.
ex_28_dias	Ex 28 DÃ­as...	Public	 Women's Health 	129	Hola Chicas Ex de 28 DÃ­as! en este grupo podemos estar para ir ayudÃ¡ndonos mutuamente a conocer la pÃ¡gina! ya les habÃ­a dicho que podÃ­a hacer un tutorial pero yo creo que no hace falta! igual la propuesta sigue en pie en caso de ser necesaria!!!QuiÃ©n dijo q necesitabamos a 28 DÃ­as para estar juntas y seguirnos apoyando???un abrazo a todas!
embarazadas_de_28_dias	embarazadas de 28 dias	Public	 MedHelp General 	1	hola chicas abro uno nuevo por q no encuentro como hablar con ustedes es q no me entero de como va esto asi q les propongo a todas las embarazadas y no embarazadas q comentemos nuestras dudas desde aqui ya q no se como hablar de otra FORMA
pob	Eyecare Trust	Public	 Eye Care 	3	http://pobtrust.org   works for the elimination of avoidable causes of blindness regardless of religion, ethnicity, gender, and nationality of our   beneficiaries.Out target market is throughout the globe. We provide FREE surgery services for PREVENTION OF BLINDNESS
feb_2011_babies	Feb 2011 Babies	Public	 Pregnancy 	12	Mommies of February 2011 Babies:Welcome to the group!!!  Feel free to share, ask questions, or just vent. This group is for support. Congrats on your pregnancy.
fertility	fertility	Public	 MedHelp General 	7	trying to get pgby mizpreciado, Aug 23, 2010 05:20PM hellow everybody im new here. i have a problem i cant get pg dont know if is because of my age im 40 or cause the iud. ok i had the copper iud in for 9 1/2 years i got it pull out on 8/28/ 2009 since then i been trying but no luck i  recently started taking fertility blend cause before the iud it whas so easy to conceive my last birt whas 10 years ago. my husband has 3 kids of his previous marriage. can someone plssss help and tellme if is a god idea to take fertility blend or not  thank you
fibromyalgia__is_it_caused_by_drugs__	Fibromyalgia: Is it caused by drugs? 	Public	 Diabetes 	4	This is a new group created for those who suffer from Fibromyalgia. I am hoping to hear about how and when you were diagnosed, and if you had used any form of  Opiates, or other pain reducing drugs, short or long tern, prior to being diagnosed with these symptoms.  I have a theory that Fibromyalgia symptoms may actually be caused by the discontinued use of pain relievers. Please write your story about how and when your symptoms began to affect you, if they have worsened over time and what drugs you are using to help with the pain. I'm very interested in finding out if you were ever given or have use any form of pain medication for any condition prior to the onset of your Fibromyalgia symptoms. If so, please include this information.
family_s_haven	Family's Haven	Public	 Addiction 	3	I am looking to start a live Alanon / Coda Based group for family members dealing with the addicted person  My vision for this group it to see it expand in membership to the point that individualized addictions and or relationship types can separate off if the need arises.
encouragement___prayer_for_women	Encouragement & Prayer for women	Public	 Women's Health 	7	This group is dedicated to all women that going through difficulties especially medical issues. If you need encouragement and prayer just submit your prayer request. Don't give up.  Let us help each other.
every_uncure_and_dangerous_deases	EVERY UNCURE AND DANGEROUS DEASES	Public	 MedHelp General 	1	EVERY DEASES IN THIS WORLD IS NOT UNCURE, ANY THING IN THIS WORLD IS NOT IMPOSSIBLE. JUST YOU HAVE TO GO TO RIGHT PLACE, GO WITH THE NATURE. NATURAL THERAPY OR AYURVEDA, UNANI IS GOOD FOR ALL THAT DEASES WHICH PEOPLE SAY DANGEROUS.
fighting_to_win_the_fibro_battle	fighting to win the fibro battle	Public	 Pain 	13	for those of you suffering with fibromyalgia and all its evil symptoms...the physical, the mental, the family, etc. Join us in fighting the good fight with new information, experiences, situations of everyday life.
fans_of_the_duggars_	Fans Of The Duggars 	Public	 MedHelp General 	1	This community is where all fans and friends of the Duggar family can come and encourage one another in the LORD. Discuss the show. "19 Kids and Counting". And share there thoughts and veiws on the wonderful family! This community is for Duggar fans and friends only...those of you who do not like the Duggars and wish to leave rude remarks and/or comments that are inappropriate etc. Will be reported.
emetophobia	Emetophobia	Public	 Mental/Emotional Health 	7	Any one out there with a fear of throwing up.
pagan	fellow pagans	Public	 Diabetes 	5	merry meet, I noticed surfing this site this site only has christian and spiritual message boards and I said to myself that aint gonna fly :( I feel paganism is a beautiful thing and those who pratice should be able to express themselves. People who are intrested in pagan and pagans of all kinds are welcome here druids, shamans, wizards ect weather you pratice solo or in a circle or coven you can post spells prayers or share whatever has worked for you in the past,blessed be <3
eosinophilic_esophagitis	Eosinophilic Esophagitis	 Private 	 Asthma & Allergy 	1	Characterized by white blood cells sticking to the esophagus, making it hard to swallow. From my understanding as of today and with a child with this relatively "new disease" it is caused by Food Allergies. Watch out for stress, which I am noticing speaking to other people may also be an underlying "trigger" to this disease. This is just an assumption on my part and I have no medical background. Just a mommy that hasn't stopped searching for answers . Cooking will become a challenge, because most people who are diagnosed with EE have many different allergies. Some symptoms include but not limited to, muscle and joint pain, headaches, chest pain, stomach pains, over heating, weakness, unexplicable tiredness etc..
feet_pain	Feet Pain	Public	 Pain 	3	When you are walking and you have a pain in it, What do it mean sometimes when you have a pain in you foot or feet that can mean that you have callus or you can have a foot Diabetes i now you never new if it but i can tell you more about it...
fecal_odor	Fecal Odor	Public	 Digestive 	3	This is a forum for those of us who smell like feces and have not been able to get help from doctors
fat_loss_4_idiots	Fat Loss 4 Idiots	Public	 Diabetes 	12	This is an 11-day diet which changes your calories constantly.
elliptical_trainer	Elliptical Trainer	Public	 General Health 	1	Elliptical machine is an equipment for aerobic exercise which replicated by running and walking, that led an elliptical motion of the feet. This not only good for normal people, it's also ideal for patients who have joint issues or problems with ligaments or tendons. Elliptical Trainer machine provides an excellent impact-free cardiovascular workout because it has continuous movement, so it gives user a low impact when compared with the normal running or walking. Elliptical Machines also called cross trainer machine has been popular in the gym and home use. Most of it has been designed according to biomechanics, ergonomics and physiology to reduce chances of injury while using it.
endometriosis	Endometriosis	Public	 Women's Health 	4	Endometriosis- 6.3 million women in the US and millions worldwide  are affected. Are you suffering from the pain, loss and all that comes with it? Join this group to share and chat with others going thru the same type of issues, discuss treatment methods, the complications, relate to others- tell your story here.....Or maybe your story has just begun, support goes a long way .
fghhtgrtgrtrgtrgr	fghhtgrtgr	Public	 Diabetes 	1	http://www.hisandherhealth.com/index.php?option=com_content&id;=572
finding_a_methadone_clinic_or_doctor_in_gadsden_al__area_to_take_over_methadone_maint__program	Finding a methadone clinic or Doctor in Gadsden Al. area to take over methadone maint. program	Public	 Diabetes 	1	I am a 55 year old male that has been on a methadone maint. program for almost 12 years now with a regular dose of 195mg. per day. My wife and family have just moved to this area from Chicago, Illinois and I am seeking a doctor to take over my maint. program as I will be out by the end of the week.
frozen__embryo_transplant	FROZEN  EMBRYO TRANSPLANT	Public	 MedHelp General 	14	THIS GROUP IS FOR THE LADIES WHO ARE HAVING QUESTIONS ABOUT FET AND THAWING
free_thoughts	free thoughts	Public	 Sexual Health 	23	feel free to talk.
give_and_get_emotional_support	give and get emotional support	Public	 Mental/Emotional Health 	95	a place for all to come and help other medhelp members with ALL and ANY life issues, rather it be family, money, job, or even your car breaking down, whatever you are in need of talking about and recieving a little emotional support.
gall_blader	Gall Blader	Public	 Digestive 	8	To keep every one updated on gallstones and related complications
four_corner___snac_wrist___scaphoid_excision___carpal_arthrodesis___spider_plate___scaphoid_necrosis_	FOUR CORNER / SNAC WRIST / SCAPHOID EXCISION / CARPAL ARTHRODESIS / SPIDER PLATE / SCAPHOID NECROSIS 	Public	 Orthopedics 	20	FOUR CORNERSNAC WRISTSCAPHOID EXCISION CARPAL ARTHRODESIS SPIDER PLATESCAPHOID NECROSISWRIST FUSIONWRIST ARTHRODESIS
frontal_temporal_lobe_degeneration__picks_degeneration_sufferers	Frontal Temporal Lobe Disease, Picks Degeneration Sufferers	Public	 Neurology 	14	This is a group primarily for people who have frontal temporal lobe degeneration.  Caregivers are also welcome but I especially encourage people to come to this group who have FTD symptoms who do not have a firm diagnosis yet, people who have an FTD diagnosis but are still able to communicate and realize that they do have FTD.  One of the main reasons for starting this group is to provide information and support to people like me who suffer from FTD but do not have the typical early symptoms that prevent them from communicating and discussing information abtout the disease
general_health	General Health	Public	 General Health 	13	General Health is here to help you! Possible solutions and possible diagnosis from someone who cares about your health. Just leave your questions or symptoms and we will reply to you *This group is not a solution for medical attention*
free_your_mind____vent_let_it_all_out__	Free your mind  ( vent let it all out )	Public	 Adolescent Health 	32	come here to just let it all out , destress , vent  scream , and   talk or pray   what ever it  is let it go.
for_the_love_of__food	For the love of  food	Public	 Diabetes 	6	share your favorite recipes and get some new recipes,share heath ideals,
first_baby_at_50_60	First baby at 50,60	Public	 Pregnancy 	6	For women deciding to have their first baby at 50 and older.  If you are that woman, please share your journey with the rest of us. The Pros and Cons, the good, the bad and the challenges.  Please be honest in your sharing. If you are the woman who is trying to have a baby at 50 or older, please join our group.  Letâs talk about it.  Letâs support one another, letâs keep it real.
fundraising	Fundraising	Public	 Mental/Emotional Health 	1	Various fundraising for individual and group projects.Sharing fundraising ideas,programs and fundraising experinces.Networking to reach financial goals through fundraising.Relieving emotional and mental stress with solutions to moneyproblems.
friends_help_group	friends help group	Public	 MedHelp General 	3	for anything you want to talk about and to help each other .
get_real_about_sex	Get real about SEX	Public	 Sexual Health 	47	In this group you can address your sex-life to get the most out of your sexual experiences (sex can always get better). This is a safe place to get real about sex. Find out that you are not the only one who...  Share &Learn; about new things. In this group you don't have to be shy.You can share sexual secrets, experiences, preferences, ideas, adventures, concerns, problems, fears, questions, stories, misconceptions, etc. Explore your sexual self, expect satisfaction.
gender_disappointment	Gender Disappointment	 Private 	 Pregnancy 	1	This is a group that I wanted to start for all the women out there like me, that are hoping for certain sex, and being disappointed.I have 2 beautiful wonderful boys at home, and I am pregnant with my 3rd baby.  I was hoping and praying to finally have a daughter, something I've always wanted, but sadly today my heart was broken when I found out that I would never have one.This is my last baby, so there are no more chances for me to have the daughter I so greatly desire.All the emotions and guilt that we go through, is so often hidden.I started the group so that we can find comfort in each other, so please don't try to join if you just plan to judge, I want this to be a friendly comforting environment.
foster_parent_advice_swap	Foster Parent Advice Swap	Public	 MedHelp General 	2	Being a foster parent, in my opinion, is just as frustrating as it is rewarding and such a vital part of the the whole process but for something so crucial to children unlucky enough to need a foster home there is too little support for these selfless families and individuals.Foster parents need a place to vent, bounce ideas off of each other, or to just talk to people who are in similar situations. I myself have struggled to find this sort of place so I am making my own and warmly welcome others to join me.
first_wives_club_husband_	first wives club/husband 	Public	 Heart 	1	been married ,, now going or gone thhrough seperation or devorce ,, this hopefull a support group where we, can make friends who share and understand what were going through , for every one sake especiall the children ,,
getting_away_from_substance_abuse	getting away from substance abuse	Public	 Diabetes 	1	this is a place for anyone who has an addiction and needs help or advice as to what to do...im a struggling addict that wants to know if there are other like me ...any one is welcome with a substance abuse problem.....
frustrated___need_2_vent_	Frustrated & Need 2 Vent?	Public	 Mental/Emotional Health 	1	Get out what no one around you wants to hear. I want to chat.
friends_for_health	Friends For Health	Public	 Sexual Health 	2	A Society ministry for social health.
